"CMS_Cert_Number","Offers Nursing Care Services","Offers Physical Therapy Services","Offers Occupational Therapy Services","Test","Offers Home Health Aide Services"
"147760","Yes","Yes","Yes","Yes","Yes"
"147761","Yes","Yes","Yes","Yes","Yes"
"147762","Yes","Yes","Yes","Yes","Yes"
"147763","Yes","Yes","Yes","Yes","Yes"
"147764","Yes","Yes","Yes","Yes","Yes"
"147766","Yes","Yes","Yes","Yes","Yes"
"147767","Yes","Yes","Yes","Yes","Yes"
"147768","Yes","Yes","Yes","Yes","Yes"
"147769","Yes","Yes","Yes","Yes","Yes"
"147770","Yes","Yes","Yes","Yes","Yes"
"147771","Yes","Yes","Yes","Yes","Yes"
"147772","Yes","Yes","Yes","Yes","Yes"
"147773","Yes","Yes","Yes","Yes","Yes"
"147774","Yes","Yes","Yes","Yes","No"
"147775","Yes","Yes","Yes","Yes","Yes"
"147777","Yes","Yes","Yes","Yes","Yes"
"147778","Yes","Yes","Yes","Yes","Yes"
"147779","Yes","Yes","Yes","Yes","Yes"
"147780","Yes","Yes","Yes","Yes","Yes"
"147782","Yes","Yes","Yes","Yes","Yes"
"147783","Yes","Yes","Yes","Yes","Yes"
"147784","Yes","Yes","Yes","Yes","Yes"
"147785","Yes","Yes","Yes","Yes","Yes"
"147786","Yes","Yes","Yes","Yes","Yes"
"147788","Yes","Yes","Yes","Yes","Yes"
"147790","Yes","Yes","Yes","Yes","Yes"
"147791","Yes","Yes","Yes","Yes","Yes"
"147792","Yes","Yes","Yes","Yes","Yes"
"147793","Yes","Yes","Yes","Yes","Yes"
"147794","Yes","Yes","Yes","Yes","Yes"
"147795","Yes","Yes","Yes","No","Yes"
"147797","Yes","Yes","Yes","Yes","Yes"
"147798","Yes","Yes","Yes","Yes","Yes"
"147799","Yes","Yes","Yes","No","Yes"
"147802","Yes","Yes","Yes","Yes","Yes"
"147803","Yes","Yes","Yes","Yes","Yes"
"147804","Yes","Yes","Yes","Yes","Yes"
"147806","Yes","Yes","Yes","Yes","Yes"
"147807","Yes","Yes","Yes","Yes","Yes"
"147808","Yes","Yes","Yes","Yes","Yes"
"147809","Yes","Yes","Yes","Yes","Yes"
"147810","Yes","Yes","Yes","Yes","Yes"
"147811","Yes","Yes","Yes","Yes","Yes"
"147812","Yes","Yes","Yes","Yes","Yes"
"147813","Yes","Yes","Yes","Yes","Yes"
"147814","Yes","Yes","Yes","Yes","Yes"
"147815","Yes","Yes","Yes","Yes","Yes"
"147816","Yes","Yes","Yes","Yes","Yes"
"147817","Yes","Yes","Yes","Yes","Yes"
"147818","Yes","Yes","Yes","Yes","Yes"
"147819","Yes","Yes","Yes","Yes","Yes"
"147820","Yes","Yes","Yes","Yes","Yes"
"147821","Yes","Yes","Yes","Yes","Yes"
"147822","Yes","Yes","Yes","Yes","Yes"
"147823","Yes","Yes","Yes","Yes","Yes"
"147824","Yes","Yes","Yes","Yes","Yes"
"147825","Yes","Yes","Yes","Yes","Yes"
"147826","Yes","Yes","Yes","Yes","Yes"
"147827","Yes","Yes","Yes","Yes","Yes"
"147828","Yes","Yes","Yes","Yes","Yes"
"147829","Yes","Yes","Yes","Yes","Yes"
"147830","Yes","Yes","Yes","Yes","Yes"
"147831","Yes","Yes","Yes","Yes","Yes"
"147832","Yes","Yes","Yes","Yes","Yes"
"147833","Yes","Yes","Yes","Yes","Yes"
"147834","Yes","Yes","Yes","Yes","Yes"
"147835","Yes","Yes","Yes","Yes","Yes"
"147836","Yes","Yes","Yes","Yes","Yes"
"147837","Yes","Yes","Yes","Yes","Yes"
"147838","Yes","Yes","Yes","Yes","Yes"
"147839","Yes","Yes","Yes","Yes","Yes"
"147840","Yes","Yes","Yes","Yes","Yes"
"147841","Yes","Yes","Yes","Yes","Yes"
"147842","Yes","Yes","Yes","Yes","Yes"
"147843","Yes","Yes","Yes","Yes","Yes"
"147844","Yes","Yes","Yes","Yes","Yes"
"147845","Yes","Yes","Yes","Yes","Yes"
"147846","Yes","Yes","Yes","Yes","Yes"
"147847","Yes","Yes","Yes","Yes","Yes"
"147848","Yes","Yes","Yes","Yes","Yes"
"147849","Yes","Yes","Yes","Yes","Yes"
"147850","Yes","Yes","Yes","Yes","Yes"
"147851","Yes","Yes","Yes","Yes","Yes"
"147852","Yes","Yes","Yes","Yes","Yes"
"147853","Yes","Yes","Yes","Yes","Yes"
"147854","Yes","Yes","Yes","Yes","Yes"
"147855","Yes","Yes","Yes","Yes","Yes"
"147856","Yes","Yes","Yes","Yes","Yes"
"147857","Yes","Yes","Yes","Yes","Yes"
"147858","Yes","Yes","Yes","Yes","Yes"
"147859","Yes","Yes","Yes","Yes","Yes"
"147860","Yes","Yes","Yes","Yes","Yes"
"147861","Yes","Yes","Yes","Yes","Yes"
"147862","Yes","Yes","Yes","Yes","Yes"
"147864","Yes","Yes","Yes","Yes","Yes"
"147865","Yes","Yes","Yes","Yes","Yes"
"147866","Yes","Yes","Yes","Yes","Yes"
"147868","Yes","Yes","Yes","Yes","Yes"
"147869","Yes","Yes","Yes","Yes","Yes"
"147870","Yes","Yes","Yes","Yes","Yes"
"147871","Yes","Yes","Yes","Yes","Yes"
"147872","Yes","Yes","Yes","Yes","Yes"
"147873","Yes","Yes","Yes","Yes","Yes"
"147874","Yes","Yes","Yes","Yes","Yes"
"147875","Yes","Yes","Yes","Yes","Yes"
"147876","Yes","Yes","Yes","Yes","Yes"
"147877","Yes","Yes","Yes","Yes","Yes"
"147878","Yes","Yes","Yes","No","Yes"
"147879","Yes","Yes","Yes","Yes","Yes"
"147881","Yes","Yes","Yes","Yes","Yes"
"147882","Yes","Yes","Yes","Yes","Yes"
"147883","Yes","Yes","Yes","Yes","Yes"
"147884","Yes","Yes","Yes","Yes","Yes"
"147885","Yes","Yes","Yes","Yes","Yes"
"147886","Yes","Yes","Yes","Yes","Yes"
"147887","Yes","Yes","Yes","Yes","Yes"
"147888","Yes","Yes","Yes","Yes","Yes"
"147889","Yes","Yes","Yes","Yes","Yes"
"147890","Yes","Yes","Yes","Yes","Yes"
"147891","Yes","Yes","Yes","Yes","Yes"
"147892","Yes","Yes","Yes","Yes","Yes"
"147893","Yes","Yes","Yes","Yes","Yes"
"147894","Yes","Yes","Yes","Yes","Yes"
"147895","Yes","Yes","Yes","Yes","Yes"
"147896","Yes","Yes","Yes","Yes","Yes"
"147897","Yes","Yes","Yes","Yes","Yes"
"147898","Yes","Yes","Yes","Yes","Yes"
"147899","Yes","Yes","Yes","Yes","Yes"
"147900","Yes","Yes","Yes","Yes","Yes"
"147901","Yes","Yes","Yes","Yes","Yes"
"147902","Yes","Yes","Yes","Yes","Yes"
"147903","Yes","Yes","Yes","Yes","Yes"
"147904","Yes","Yes","Yes","Yes","Yes"
"147905","Yes","Yes","Yes","Yes","Yes"
"147906","Yes","Yes","Yes","Yes","Yes"
"147907","Yes","Yes","Yes","Yes","Yes"
"147908","Yes","Yes","Yes","Yes","Yes"
"147909","Yes","Yes","Yes","Yes","Yes"
"147910","Yes","Yes","Yes","Yes","Yes"
"147911","Yes","Yes","Yes","Yes","Yes"
"147912","Yes","Yes","Yes","Yes","Yes"
"147913","Yes","Yes","Yes","Yes","Yes"
"147914","Yes","Yes","Yes","Yes","Yes"
"147915","Yes","Yes","Yes","No","Yes"
"147916","Yes","Yes","Yes","Yes","Yes"
"147917","Yes","Yes","Yes","Yes","Yes"
"147918","Yes","Yes","Yes","Yes","Yes"
"147920","Yes","Yes","Yes","Yes","Yes"
"147921","Yes","Yes","Yes","Yes","Yes"
"147922","Yes","Yes","Yes","Yes","Yes"
"147923","Yes","Yes","Yes","Yes","Yes"
"147924","Yes","Yes","Yes","Yes","Yes"
"147925","Yes","Yes","Yes","Yes","Yes"
"147926","Yes","Yes","Yes","Yes","Yes"
"147927","Yes","Yes","Yes","Yes","Yes"
"147928","Yes","Yes","Yes","Yes","Yes"
"147929","Yes","Yes","Yes","Yes","Yes"
"147930","Yes","Yes","Yes","Yes","Yes"
"147931","Yes","Yes","Yes","Yes","Yes"
"147932","Yes","Yes","Yes","Yes","Yes"
"147933","Yes","Yes","Yes","Yes","Yes"
"147934","Yes","Yes","Yes","Yes","Yes"
"147935","Yes","Yes","Yes","Yes","Yes"
"147936","Yes","Yes","Yes","Yes","Yes"
"147937","Yes","Yes","Yes","Yes","Yes"
"147938","Yes","Yes","Yes","Yes","Yes"
"147939","Yes","Yes","Yes","Yes","Yes"
"147940","Yes","Yes","Yes","Yes","Yes"
"147941","Yes","Yes","Yes","Yes","Yes"
"147942","Yes","Yes","Yes","Yes","Yes"
"147943","Yes","Yes","Yes","Yes","Yes"
"147944","Yes","Yes","Yes","Yes","Yes"
"147945","Yes","Yes","Yes","Yes","Yes"
"147946","Yes","Yes","Yes","Yes","Yes"
"147947","Yes","Yes","Yes","Yes","Yes"
"147948","Yes","Yes","Yes","Yes","Yes"
"147949","Yes","Yes","Yes","Yes","Yes"
"147950","Yes","Yes","Yes","Yes","Yes"
"147951","Yes","Yes","Yes","Yes","Yes"
"147952","Yes","Yes","Yes","Yes","Yes"
"147953","Yes","Yes","Yes","Yes","Yes"
"147955","Yes","Yes","Yes","Yes","Yes"
"147956","Yes","Yes","Yes","Yes","Yes"
"147957","Yes","Yes","Yes","Yes","Yes"
"147958","Yes","Yes","Yes","Yes","Yes"
"147959","Yes","Yes","Yes","Yes","Yes"
"147960","Yes","Yes","Yes","Yes","Yes"
"147961","Yes","Yes","Yes","Yes","Yes"
"147962","Yes","Yes","Yes","Yes","Yes"
"147963","Yes","Yes","Yes","Yes","Yes"
"147964","Yes","Yes","Yes","Yes","Yes"
"147965","Yes","Yes","Yes","Yes","Yes"
"147966","Yes","Yes","Yes","Yes","Yes"
"147967","Yes","Yes","Yes","No","Yes"
"147968","Yes","Yes","Yes","Yes","Yes"
"147969","Yes","Yes","Yes","Yes","Yes"
"147970","Yes","Yes","Yes","Yes","Yes"
"147971","Yes","Yes","Yes","Yes","Yes"
"147972","Yes","Yes","Yes","Yes","Yes"
"147973","Yes","Yes","Yes","Yes","Yes"
"147975","Yes","Yes","Yes","Yes","Yes"
"147976","Yes","Yes","Yes","Yes","Yes"
"147977","Yes","Yes","Yes","Yes","Yes"
"147978","Yes","Yes","Yes","Yes","Yes"
"147979","Yes","Yes","Yes","Yes","Yes"
"147980","Yes","Yes","Yes","Yes","Yes"
"147981","Yes","Yes","Yes","Yes","Yes"
"147982","Yes","Yes","Yes","Yes","Yes"
"147983","Yes","Yes","Yes","Yes","Yes"
"147984","Yes","Yes","Yes","Yes","Yes"
"147985","Yes","Yes","Yes","Yes","Yes"
"147987","Yes","Yes","Yes","Yes","Yes"
"147988","Yes","Yes","Yes","Yes","Yes"
"147990","Yes","Yes","Yes","Yes","Yes"
"147991","Yes","Yes","Yes","Yes","Yes"
"147992","Yes","Yes","Yes","Yes","Yes"
"147993","Yes","Yes","Yes","Yes","Yes"
"147994","Yes","Yes","Yes","Yes","Yes"
"147995","Yes","Yes","Yes","Yes","Yes"
"147996","Yes","Yes","Yes","No","Yes"
"147997","Yes","Yes","Yes","Yes","Yes"
"147998","Yes","Yes","Yes","Yes","Yes"
"147999","Yes","Yes","Yes","Yes","Yes"
"148000","Yes","Yes","Yes","Yes","Yes"
"148001","Yes","Yes","Yes","Yes","Yes"
"148002","Yes","Yes","Yes","Yes","Yes"
"148003","Yes","Yes","Yes","Yes","Yes"
"148004","Yes","Yes","Yes","Yes","Yes"
"148005","Yes","Yes","Yes","Yes","Yes"
"148006","Yes","Yes","Yes","Yes","Yes"
"148007","Yes","Yes","Yes","Yes","Yes"
"148008","Yes","Yes","Yes","Yes","Yes"
"148009","Yes","Yes","Yes","Yes","Yes"
"148010","Yes","Yes","Yes","No","Yes"
"148011","Yes","Yes","Yes","Yes","Yes"
"148012","Yes","Yes","Yes","Yes","Yes"
"148013","Yes","Yes","Yes","Yes","Yes"
"148015","Yes","Yes","Yes","Yes","Yes"
"148016","Yes","Yes","Yes","Yes","Yes"
"148017","Yes","Yes","No","No","Yes"
"148018","Yes","Yes","No","No","Yes"
"148019","Yes","Yes","Yes","No","Yes"
"148020","Yes","Yes","Yes","Yes","Yes"
"148021","Yes","Yes","Yes","Yes","Yes"
"148022","Yes","Yes","Yes","Yes","Yes"
"148023","Yes","Yes","Yes","Yes","Yes"
"148024","Yes","Yes","Yes","Yes","Yes"
"148025","Yes","Yes","Yes","Yes","Yes"
"148026","Yes","Yes","Yes","Yes","Yes"
"148027","Yes","Yes","Yes","Yes","Yes"
"148028","Yes","Yes","Yes","Yes","Yes"
"148029","Yes","Yes","Yes","Yes","Yes"
"148030","Yes","Yes","Yes","Yes","Yes"
"148031","Yes","Yes","Yes","Yes","Yes"
"148032","Yes","Yes","Yes","Yes","Yes"
"148033","Yes","Yes","Yes","Yes","Yes"
"148034","Yes","Yes","Yes","Yes","Yes"
"148035","Yes","Yes","Yes","Yes","Yes"
"148036","Yes","Yes","Yes","Yes","Yes"
"148037","Yes","Yes","Yes","Yes","Yes"
"148038","Yes","Yes","Yes","Yes","Yes"
"148039","Yes","Yes","Yes","Yes","Yes"
"148040","Yes","Yes","Yes","Yes","Yes"
"148041","Yes","Yes","Yes","Yes","Yes"
"148042","Yes","Yes","Yes","Yes","Yes"
"148043","Yes","Yes","Yes","Yes","Yes"
"148044","Yes","Yes","No","No","Yes"
"148045","Yes","Yes","Yes","No","Yes"
"148046","Yes","Yes","Yes","Yes","Yes"
"148047","Yes","Yes","Yes","Yes","Yes"
"148048","Yes","Yes","Yes","Yes","Yes"
"148049","Yes","Yes","Yes","Yes","Yes"
"148050","Yes","Yes","Yes","Yes","Yes"
"148051","Yes","Yes","Yes","Yes","Yes"
"148052","Yes","Yes","Yes","Yes","Yes"
"148053","Yes","Yes","Yes","Yes","Yes"
"148054","Yes","Yes","Yes","Yes","Yes"
"148055","Yes","Yes","Yes","Yes","Yes"
"148056","Yes","Yes","Yes","Yes","Yes"
"148057","Yes","Yes","Yes","Yes","Yes"
"148058","Yes","Yes","Yes","Yes","Yes"
"148059","Yes","Yes","Yes","Yes","Yes"
"148060","Yes","Yes","Yes","Yes","Yes"
"148061","Yes","Yes","Yes","Yes","Yes"
"148062","Yes","Yes","Yes","Yes","Yes"
"148063","Yes","Yes","Yes","Yes","Yes"
"148064","Yes","Yes","Yes","Yes","Yes"
"148065","Yes","Yes","Yes","Yes","Yes"
"148066","Yes","Yes","Yes","Yes","Yes"
"148067","Yes","Yes","Yes","Yes","Yes"
"148068","Yes","Yes","Yes","Yes","Yes"
"148069","Yes","Yes","Yes","Yes","Yes"
"148070","Yes","Yes","Yes","Yes","Yes"
"148071","Yes","Yes","Yes","Yes","Yes"
"148072","Yes","Yes","Yes","Yes","Yes"
"148073","Yes","Yes","Yes","Yes","Yes"
"148074","Yes","Yes","Yes","Yes","Yes"
"148075","Yes","Yes","Yes","Yes","Yes"
"148076","Yes","Yes","Yes","Yes","Yes"
"148077","Yes","Yes","Yes","Yes","Yes"
"148078","Yes","Yes","Yes","Yes","Yes"
"148079","Yes","Yes","Yes","Yes","Yes"
"148080","Yes","Yes","Yes","Yes","Yes"
"148081","Yes","Yes","Yes","Yes","Yes"
"148082","Yes","Yes","Yes","No","Yes"
"148083","Yes","Yes","Yes","Yes","Yes"
"148084","Yes","Yes","Yes","Yes","Yes"
"148085","Yes","Yes","Yes","Yes","Yes"
"148086","Yes","Yes","Yes","Yes","Yes"
"148087","Yes","Yes","Yes","Yes","Yes"
"148088","Yes","Yes","Yes","Yes","Yes"
"148089","Yes","Yes","Yes","Yes","Yes"
"148090","Yes","Yes","Yes","Yes","Yes"
"148091","Yes","Yes","Yes","Yes","Yes"
"148092","Yes","Yes","Yes","Yes","Yes"
"148093","Yes","Yes","Yes","Yes","Yes"
"148094","Yes","Yes","Yes","Yes","Yes"
"148095","Yes","Yes","Yes","Yes","Yes"
"148096","Yes","Yes","Yes","Yes","Yes"
"148097","Yes","Yes","Yes","Yes","Yes"
"148098","Yes","Yes","Yes","Yes","Yes"
"148100","Yes","Yes","Yes","Yes","Yes"
"148101","Yes","Yes","Yes","Yes","Yes"
"148102","Yes","Yes","Yes","Yes","Yes"
"148103","Yes","Yes","Yes","Yes","Yes"
"148104","Yes","Yes","Yes","Yes","Yes"
"148105","Yes","Yes","Yes","Yes","Yes"
"148106","Yes","Yes","Yes","Yes","Yes"
"148107","Yes","Yes","Yes","Yes","Yes"
"148108","Yes","Yes","Yes","Yes","Yes"
"148109","Yes","Yes","Yes","Yes","Yes"
"148110","Yes","Yes","Yes","Yes","Yes"
"148111","Yes","Yes","Yes","Yes","Yes"
"148112","Yes","Yes","Yes","No","Yes"
"148113","Yes","Yes","Yes","Yes","Yes"
"148114","Yes","Yes","Yes","Yes","Yes"
"148115","Yes","Yes","Yes","Yes","Yes"
"148116","Yes","Yes","Yes","No","Yes"
"148117","Yes","Yes","Yes","Yes","Yes"
"148118","Yes","Yes","Yes","Yes","Yes"
"148119","Yes","Yes","Yes","Yes","Yes"
"148120","Yes","Yes","Yes","Yes","Yes"
"148121","Yes","Yes","Yes","Yes","Yes"
"148122","Yes","Yes","Yes","Yes","Yes"
"148123","Yes","Yes","Yes","Yes","Yes"
"148124","Yes","Yes","Yes","Yes","Yes"
"148125","Yes","Yes","Yes","Yes","Yes"
"148126","Yes","Yes","Yes","Yes","Yes"
"148127","Yes","Yes","Yes","Yes","Yes"
"148128","Yes","Yes","Yes","Yes","Yes"
"148129","Yes","Yes","Yes","Yes","Yes"
"148130","Yes","Yes","Yes","Yes","Yes"
"148131","Yes","Yes","Yes","Yes","Yes"
"148132","Yes","Yes","Yes","Yes","Yes"
"148133","Yes","Yes","Yes","Yes","Yes"
"148134","Yes","Yes","Yes","Yes","Yes"
"148135","Yes","Yes","Yes","Yes","Yes"
"148136","Yes","Yes","Yes","Yes","Yes"
"148137","Yes","Yes","Yes","Yes","Yes"
"148138","Yes","Yes","Yes","Yes","Yes"
"148139","Yes","Yes","Yes","Yes","Yes"
"148140","Yes","Yes","Yes","No","Yes"
"148141","Yes","Yes","Yes","Yes","Yes"
"148142","Yes","Yes","Yes","Yes","Yes"
"148143","Yes","Yes","Yes","Yes","Yes"
"148144","Yes","Yes","Yes","Yes","Yes"
"148146","Yes","Yes","Yes","Yes","Yes"
"148147","Yes","Yes","Yes","Yes","Yes"
"148148","Yes","Yes","Yes","Yes","Yes"
"148149","Yes","Yes","Yes","Yes","Yes"
"148150","Yes","Yes","Yes","Yes","Yes"
"148151","Yes","Yes","Yes","Yes","Yes"
"148152","Yes","Yes","Yes","Yes","Yes"
"148153","Yes","Yes","Yes","No","No"
"148154","Yes","Yes","Yes","Yes","Yes"
"148155","Yes","Yes","Yes","Yes","Yes"
"148156","Yes","Yes","Yes","Yes","Yes"
"148157","Yes","Yes","Yes","No","Yes"
"148158","Yes","Yes","No","No","No"
"148159","Yes","Yes","Yes","Yes","Yes"
"148160","Yes","Yes","Yes","Yes","Yes"
"148162","Yes","Yes","Yes","Yes","Yes"
"148163","Yes","Yes","Yes","Yes","Yes"
"148164","Yes","Yes","Yes","Yes","Yes"
"148165","Yes","Yes","Yes","Yes","Yes"
"148166","Yes","Yes","Yes","Yes","Yes"
"148167","Yes","Yes","Yes","Yes","Yes"
"148168","Yes","Yes","Yes","Yes","Yes"
"148169","Yes","Yes","Yes","No","Yes"
"148170","Yes","Yes","Yes","Yes","Yes"
"148171","Yes","Yes","Yes","Yes","Yes"
"148172","Yes","Yes","Yes","Yes","Yes"
"148173","Yes","Yes","Yes","Yes","Yes"
"148174","Yes","Yes","Yes","Yes","Yes"
"148175","Yes","Yes","Yes","Yes","Yes"
"148176","Yes","Yes","Yes","Yes","Yes"
"148177","Yes","Yes","Yes","Yes","Yes"
"148178","Yes","Yes","Yes","Yes","Yes"
"148179","Yes","Yes","Yes","Yes","Yes"
"148180","Yes","Yes","Yes","Yes","Yes"
"148181","Yes","Yes","Yes","Yes","Yes"
"148182","Yes","Yes","Yes","Yes","Yes"
"148183","Yes","Yes","Yes","Yes","Yes"
"148184","Yes","Yes","Yes","Yes","Yes"
"148185","Yes","Yes","Yes","Yes","Yes"
"148186","Yes","Yes","Yes","Yes","Yes"
"148187","Yes","Yes","Yes","No","Yes"
"148189","Yes","Yes","Yes","Yes","Yes"
"148190","Yes","Yes","Yes","Yes","Yes"
"148191","Yes","Yes","Yes","No","Yes"
"148192","Yes","Yes","Yes","Yes","Yes"
"148193","Yes","Yes","Yes","Yes","Yes"
"148194","Yes","Yes","Yes","Yes","Yes"
"148195","Yes","Yes","Yes","Yes","Yes"
"148196","Yes","Yes","Yes","Yes","Yes"
"148197","Yes","Yes","Yes","No","Yes"
"148198","Yes","Yes","Yes","Yes","Yes"
"148199","Yes","Yes","Yes","Yes","Yes"
"148200","Yes","Yes","Yes","Yes","Yes"
"148201","Yes","Yes","Yes","Yes","Yes"
"148202","Yes","Yes","Yes","Yes","No"
"148203","Yes","Yes","Yes","Yes","Yes"
"148204","Yes","Yes","Yes","Yes","No"
"148205","Yes","Yes","Yes","Yes","Yes"
"148206","Yes","Yes","Yes","Yes","Yes"
"148207","Yes","Yes","Yes","Yes","Yes"
"148208","Yes","Yes","Yes","Yes","Yes"
"148209","Yes","Yes","Yes","Yes","Yes"
"148210","Yes","Yes","Yes","Yes","Yes"
"148211","Yes","Yes","Yes","Yes","Yes"
"148212","Yes","Yes","Yes","Yes","Yes"
"148213","Yes","Yes","Yes","Yes","Yes"
"148214","Yes","Yes","Yes","Yes","Yes"
"148215","Yes","Yes","Yes","Yes","Yes"
"148216","Yes","Yes","Yes","Yes","Yes"
"148217","Yes","Yes","Yes","Yes","Yes"
"148218","Yes","Yes","Yes","Yes","Yes"
"148219","Yes","Yes","Yes","Yes","Yes"
"148220","Yes","Yes","Yes","No","Yes"
"148221","Yes","Yes","Yes","Yes","Yes"
"148223","Yes","Yes","Yes","No","Yes"
"148224","Yes","Yes","Yes","No","Yes"
"148225","Yes","Yes","Yes","Yes","Yes"
"148226","Yes","Yes","Yes","Yes","Yes"
"148227","Yes","Yes","Yes","Yes","Yes"
"148228","Yes","Yes","Yes","Yes","Yes"
"148229","Yes","Yes","Yes","Yes","Yes"
"148230","Yes","Yes","Yes","Yes","Yes"
"148231","Yes","Yes","Yes","Yes","Yes"
"148232","Yes","Yes","Yes","Yes","Yes"
"148233","Yes","Yes","Yes","Yes","Yes"
"148234","Yes","Yes","Yes","Yes","Yes"
"148235","Yes","Yes","Yes","Yes","Yes"
"148236","Yes","Yes","Yes","Yes","Yes"
"148237","Yes","Yes","Yes","Yes","Yes"
"148238","Yes","Yes","Yes","Yes","Yes"
"148239","Yes","Yes","Yes","Yes","Yes"
"148240","Yes","Yes","Yes","Yes","Yes"
"148241","Yes","Yes","No","No","No"
"148242","Yes","Yes","Yes","Yes","Yes"
"148244","Yes","Yes","No","No","Yes"
"148245","Yes","Yes","Yes","Yes","Yes"
"148246","Yes","Yes","Yes","Yes","Yes"
"148247","Yes","Yes","No","Yes","Yes"
"148248","Yes","Yes","Yes","Yes","Yes"
"148249","Yes","Yes","No","No","Yes"
"148250","Yes","Yes","Yes","Yes","Yes"
"148251","Yes","Yes","Yes","Yes","Yes"
"148252","Yes","Yes","Yes","Yes","Yes"
"148253","Yes","Yes","No","No","Yes"
"148254","Yes","Yes","Yes","Yes","Yes"
"148255","Yes","Yes","Yes","Yes","Yes"
"148256","Yes","Yes","Yes","Yes","Yes"
"148257","Yes","Yes","Yes","Yes","Yes"
"148258","Yes","Yes","Yes","Yes","Yes"
"148259","Yes","Yes","Yes","Yes","Yes"
"148260","Yes","Yes","Yes","Yes","Yes"
"148261","Yes","Yes","Yes","Yes","Yes"
"148262","Yes","Yes","Yes","Yes","Yes"
"148263","Yes","Yes","No","Yes","Yes"
"148264","Yes","Yes","Yes","Yes","Yes"
"148265","Yes","Yes","Yes","Yes","Yes"
"148266","Yes","Yes","Yes","Yes","Yes"
"148267","Yes","Yes","Yes","Yes","Yes"
"148268","Yes","Yes","Yes","Yes","Yes"
"148269","Yes","Yes","No","No","Yes"
"148270","Yes","Yes","Yes","Yes","Yes"
"148271","Yes","Yes","Yes","Yes","Yes"
"148272","Yes","Yes","Yes","Yes","Yes"
"148273","Yes","Yes","Yes","Yes","Yes"
"148274","Yes","Yes","Yes","Yes","Yes"
"148275","Yes","Yes","Yes","Yes","Yes"
"148276","Yes","Yes","Yes","Yes","Yes"
"148277","Yes","Yes","Yes","Yes","Yes"
"148278","Yes","Yes","Yes","Yes","Yes"
"148279","Yes","Yes","Yes","Yes","Yes"
"148280","Yes","Yes","Yes","Yes","Yes"
"148281","Yes","Yes","Yes","Yes","Yes"
"148282","Yes","Yes","Yes","Yes","Yes"
"148283","Yes","Yes","Yes","Yes","Yes"
"148284","Yes","Yes","Yes","Yes","Yes"
"148285","Yes","Yes","Yes","Yes","Yes"
"148286","Yes","Yes","Yes","Yes","Yes"
"148287","Yes","Yes","Yes","Yes","Yes"
"148288","Yes","Yes","No","No","Yes"
"148289","Yes","Yes","Yes","Yes","Yes"
"148290","Yes","Yes","Yes","Yes","Yes"
"148291","Yes","Yes","Yes","Yes","Yes"
"148292","Yes","Yes","Yes","Yes","Yes"
"148293","Yes","Yes","Yes","Yes","Yes"
"148294","Yes","Yes","Yes","Yes","Yes"
"148295","Yes","Yes","Yes","Yes","Yes"
"148296","Yes","Yes","Yes","Yes","Yes"
"148297","Yes","Yes","Yes","Yes","Yes"
"148298","Yes","Yes","Yes","Yes","Yes"
"148299","Yes","Yes","No","No","No"
"148300","Yes","Yes","Yes","Yes","Yes"
"148301","Yes","Yes","Yes","Yes","Yes"
"148302","Yes","Yes","Yes","Yes","Yes"
"148303","Yes","Yes","Yes","Yes","Yes"
"148304","Yes","Yes","Yes","Yes","Yes"
"148305","Yes","Yes","Yes","Yes","Yes"
"148306","Yes","Yes","Yes","Yes","Yes"
"148307","Yes","Yes","Yes","Yes","Yes"
"148308","Yes","Yes","Yes","Yes","Yes"
"148309","Yes","Yes","No","No","Yes"
"148310","Yes","Yes","Yes","Yes","Yes"
"148311","Yes","Yes","Yes","Yes","Yes"
"148312","Yes","Yes","Yes","Yes","Yes"
"148313","Yes","Yes","Yes","Yes","Yes"
"148314","Yes","Yes","Yes","Yes","Yes"
"148315","Yes","Yes","Yes","Yes","Yes"
"148316","Yes","Yes","Yes","Yes","Yes"
"148317","Yes","Yes","Yes","No","Yes"
"148318","Yes","Yes","Yes","Yes","Yes"
"148319","Yes","Yes","Yes","Yes","Yes"
"148320","Yes","Yes","Yes","Yes","Yes"
"148321","Yes","Yes","Yes","Yes","Yes"
"148322","Yes","Yes","Yes","Yes","Yes"
"148323","Yes","Yes","Yes","Yes","Yes"
"148324","Yes","No","No","No","Yes"
"148325","Yes","Yes","Yes","Yes","Yes"
"148326","Yes","Yes","Yes","Yes","Yes"
"148327","Yes","Yes","No","No","Yes"
"148328","Yes","Yes","Yes","Yes","Yes"
"148329","Yes","Yes","No","Yes","Yes"
"148330","Yes","Yes","Yes","Yes","Yes"
"148331","Yes","Yes","Yes","Yes","Yes"
"148332","Yes","Yes","Yes","Yes","Yes"
"148333","Yes","Yes","Yes","Yes","Yes"
"148334","Yes","Yes","Yes","Yes","Yes"
"148335","Yes","No","Yes","Yes","Yes"
"148336","Yes","Yes","Yes","Yes","Yes"
"148337","Yes","Yes","Yes","No","Yes"
"148338","Yes","Yes","Yes","No","Yes"
"148339","Yes","Yes","Yes","Yes","Yes"
"148340","Yes","Yes","No","Yes","Yes"
"148341","Yes","Yes","Yes","Yes","Yes"
"148342","Yes","Yes","Yes","Yes","Yes"
"148343","Yes","Yes","Yes","Yes","Yes"
"148344","Yes","Yes","Yes","Yes","Yes"
"148346","Yes","Yes","Yes","Yes","Yes"
