"CMS_Cert_Num","Question_1","Question_2","Question_3","Question_4","Question_5","Question_6","Question_7","Question_8","Question_9","Question_10","Question_11","Question_12","Question_13","Question_14","Question_15","Question_16","Question_17","Question_18","Question_19"
"59183","91","100","100","100","38","21","100","100","100","100","100","84","40","86","96","77","51","5","9"
"59185","100","93","99","100","46","25","100","100","100","100","98","42","19","33","66","39","20","5","14"
"59186","85","99","100","96","93","95","100","100","100","100","95","30","29","41","65","","30","13","11"
"59187","88","97","99","100","75","62","96","100","100","99","98","68","57","73","84","69","48","10","19"
"59188","97","97","100","100","53","25","100","99","98","100","100","56","15","62","90","78","35","6","13"
"59189","90","84","100","94","57","40","97","100","98","100","93","60","53","63","78","67","46","12","20"
"59191","91","100","100","100","100","100","100","100","100","100","100","99","70","100","100","100","84","8","13"
"59192","95","99","99","98","100","99","100","100","100","100","99","79","71","91","94","77","77","9","16"
"59193","95","100","100","100","74","37","100","100","100","100","100","59","53","56","86","53","48","10","8"
"59194","92","100","100","100","28","8","100","100","100","100","100","60","36","66","82","30","50","9","12"
"59196","95","97","100","99","53","47","99","98","94","91","100","58","57","69","76","61","47","9","15"
"59197","98","100","100","100","5","1","100","100","100","100","100","70","32","78","96","69","42","5","10"
"59199","97","99","100","98","69","73","96","99","96","98","95","42","55","64","86","73","42","11","17"
"59201","95","95","100","100","79","21","100","99","98","100","100","74","75","84","95","81","83","11","12"
"59203","95","98","100","100","77","87","99","100","100","99","99","55","54","65","73","56","46","15","15"
"59205","97","94","100","99","16","12","100","97","88","100","99","81","67","67","79","21","24","7","12"
"59206","83","95","100","80","89","83","100","91","83","79","93","47","38","49","62","72","28","10","20"
"59208","95","100","100","98","38","97","98","100","98","99","95","65","47","81","72","91","52","11","11"
"59209","94","94","99","93","75","72","98","100","100","99","96","41","54","58","73","76","49","13","14"
"59210","99","100","100","100","99","52","100","100","100","100","100","73","41","65","92","69","43","7","17"
"59212","92","98","99","100","80","83","99","100","100","100","100","52","32","58","84","36","38","4","22"
"59214","91","98","100","100","96","94","99","100","100","98","93","79","66","86","92","86","81","13","13"
"59216","82","86","99","95","74","67","98","96","96","97","98","57","62","70","62","74","44","14","13"
"59217","96","69","97","76","69","69","88","94","94","96","81","38","32","58","57","52","28","11","18"
"59218","94","99","98","99","67","59","99","100","100","100","100","66","49","73","90","84","51","9","15"
"59220","89","100","95","2","71","80","97","97","97","98","66","36","31","43","54","55","30","13","29"
"59221","96","95","99","99","86","88","97","99","91","98","98","50","56","69","70","67","48","13","16"
"59222","91","98","100","87","49","56","99","100","100","100","100","39","44","51","75","55","34","7","15"
"59223","93","98","100","98","83","77","98","100","100","99","97","58","49","70","74","75","55","7","15"
"59224","97","96","100","98","94","94","99","98","100","100","88","62","49","66","90","83","38","12","9"
"59226","81","89","99","100","38","41","98","100","99","99","99","61","59","65","77","79","46","15","17"
"59227","98","98","100","100","82","37","100","100","100","100","100","89","39","73","95","81","47","8","15"
"59229","96","94","100","100","87","86","100","100","100","100","100","65","48","70","79","75","49","11","16"
"59231","98","92","98","100","76","68","100","94","95","100","97","73","45","68","81","41","48","9","9"
"59232","93","96","100","100","81","62","100","100","100","100","98","30","18","58","87","22","9","9","11"
"59234","94","90","99","99","61","56","97","96","93","98","100","48","54","58","66","57","41","10","20"
"59236","85","89","100","100","82","79","100","100","97","100","99","67","61","63","69","69","51","11","16"
"59238","98","95","99","96","64","12","100","100","5","21","98","32","22","44","87","42","22","8","13"
"59240","95","86","98","99","93","88","95","97","96","99","92","59","54","64","65","66","45","6","15"
"59241","93","98","99","98","72","56","99","100","98","100","99","61","45","65","76","58","33","11","17"
"59242","93","100","100","99","91","98","99","100","100","100","100","43","37","55","71","6","34","9","15"
"59244","91","94","100","92","75","69","99","100","100","98","97","66","48","76","89","61","34","7","18"
"59245","91","98","100","100","84","97","100","99","93","100","99","56","67","65","86","56","41","7","17"
"59247","87","86","100","98","73","67","100","99","96","86","97","59","63","76","65","60","60","9","20"
"59248","87","96","100","97","58","68","98","99","100","99","98","65","56","70","71","73","63","12","11"
"59249","80","99","100","99","74","79","100","100","100","100","100","54","56","60","60","52","45","11","21"
"59250","93","94","99","91","82","66","100","95","90","92","99","45","48","51","65","48","37","20","16"
"59251","89","90","100","88","89","82","99","99","98","100","99","73","73","72","81","88","64","9","16"
"59252","97","98","100","100","47","49","99","100","100","100","97","42","35","63","79","62","49","6","16"
"59253","90","100","100","99","54","27","100","100","96","100","99","50","53","62","85","72","51","10","16"
"59256","84","99","99","97","92","96","99","100","100","100","94","71","86","82","91","81","69","2","20"
"59257","97","100","100","100","100","99","100","100","100","100","100","45","51","55","63","80","46","10","20"
"59258","96","94","100","100","91","94","100","100","100","100","99","44","76","73","88","81","59","6","14"
"59262","99","97","100","96","19","6","100","100","100","100","99","47","43","78","90","86","54","7","12"
"59263","92","97","100","100","91","90","100","100","95","96","87","96","83","94","93","91","86","4","5"
"59265","99","67","100","100","83","75","100","100","98","100","99","66","20","55","43","19","63","12","17"
"59268","87","92","100","99","87","82","100","99","97","100","99","43","41","48","62","51","34","15","18"
"59269","97","99","100","100","72","73","100","100","67","100","99","37","42","19","83","16","15","5","9"
"59271","96","100","100","100","49","30","100","100","100","100","99","78","31","56","82","46","17","6","12"
"59272","88","90","99","100","86","82","99","100","100","97","97","50","44","56","82","73","45","19","13"
"59273","88","87","100","99","79","88","98","100","100","100","100","41","55","51","77","67","46","14","12"
"59277","97","94","100","100","26","20","99","100","100","100","100","53","69","65","88","71","41","7","14"
"59278","94","80","100","99","98","98","98","100","100","100","99","78","36","86","82","67","51","5","11"
"59280","98","97","84","100","92","89","100","100","100","100","100","66","63","74","82","73","42","7","15"
"59281","91","71","93","100","85","83","95","99","97","93","100","55","56","63","61","77","42","11","13"
"59285","96","92","99","98","100","100","99","100","100","97","94","84","66","90","95","86","87","7","14"
"59287","97","99","100","100","47","36","100","100","100","99","100","64","38","58","70","57","40","10","16"
"59288","86","100","100","100","100","98","100","100","100","100","99","56","30","74","81","63","50","6","15"
"59290","95","99","100","100","58","18","100","100","100","100","100","61","40","67","77","61","22","7","12"
"59291","98","94","100","100","32","2","100","100","100","100","98","78","38","81","80","2","24","5","10"
"59292","89","93","99","98","84","79","96","98","100","99","98","48","57","66","73","82","47","7","17"
"59296","90","99","100","100","38","45","100","99","97","100","100","76","64","45","94","68","39","8","13"
"59297","97","96","100","100","55","46","100","100","100","100","100","80","85","90","92","89","71","12","16"
"59298","98","98","98","100","75","61","100","100","96","100","98","52","40","68","82","80","53","7","25"
"59299","87","97","99","100","73","68","100","97","83","100","99","49","47","52","70","67","40","6","26"
"59301","81","95","100","98","78","82","99","98","88","94","98","55","61","68","70","88","39","8","11"
"59302","95","97","99","99","80","92","96","99","89","97","97","54","49","73","80","85","48","11","13"
"59303","78","95","100","98","66","64","100","100","99","100","100","60","49","75","78","64","51","10","11"
"59304","90","98","99","100","91","91","98","98","98","100","99","42","54","54","77","65","37","10","11"
"59305","98","98","100","100","58","40","100","100","100","100","97","70","57","75","96","72","44","5","11"
"59306","80","98","100","98","78","78","100","100","100","100","100","45","36","52","61","57","48","11","18"
"59307","75","86","99","99","92","85","93","97","95","99","99","55","40","51","49","67","44","11","13"
"59308","94","95","100","100","84","91","100","89","99","99","100","53","54","59","59","61","45","10","20"
"59310","86","83","100","96","72","60","99","98","97","99","100","67","54","72","76","88","65","17","13"
"59313","92","89","100","99","97","85","98","98","96","98","92","41","36","46","85","78","39","14","18"
"59319","97","72","100","99","39","21","95","97","89","97","97","41","46","46","48","54","20","13","15"
"59320","91","100","100","95","75","68","93","86","96","98","100","41","31","40","62","11","1","16","18"
"59321","75","84","85","75","80","70","77","91","85","93","55","53","48","59","78","71","54","15","20"
"59324","94","95","100","97","79","84","100","100","96","87","100","41","44","49","55","30","30","2","19"
"59325","93","100","100","100","92","92","100","100","100","98","100","70","53","74","80","74","28","12","18"
"59327","92","85","97","95","71","79","86","93","86","84","92","58","56","61","61","64","60","14","14"
"59329","95","97","100","100","93","93","96","100","100","100","98","47","44","58","58","63","46","10","23"
"59331","93","100","100","100","100","100","100","100","100","100","100","68","35","81","88","14","61","9","30"
"59335","97","92","100","100","10","5","100","100","100","100","100","80","26","67","76","60","62","4","11"
"59337","100","97","100","100","90","84","100","100","100","100","100","91","60","78","88","55","47","12","18"
"59338","83","100","100","100","90","85","100","100","95","96","100","57","36","59","78","54","27","10","20"
"59340","99","98","100","100","100","91","99","100","100","100","100","98","39","91","95","82","49","5","12"
"59342","92","93","89","100","92","87","99","100","98","100","99","50","43","65","84","53","30","12","14"
"59346","92","85","99","99","52","51","98","94","89","89","98","59","56","61","83","66","44","8","17"
"59348","100","100","100","100","98","99","100","100","100","100","100","38","68","77","93","78","62","10","19"
"59349","97","98","100","100","73","85","100","99","100","100","100","43","40","54","66","44","44","7","18"
"59350","94","100","100","95","43","63","99","100","100","100","99","46","33","68","81","55","43","12","14"
"59352","84","48","97","100","100","100","100","100","100","100","100","58","44","51","78","0","20","17","13"
"59353","78","93","100","100","20","26","100","97","97","100","100","56","46","53","73","65","20","16","21"
"59355","94","99","99","98","81","83","100","99","99","100","96","47","42","58","61","59","46","10","20"
"59356","94","78","98","90","","58","98","95","91","90","94","75","57","71","82","","68","17","13"
"59359","89","100","100","100","100","100","98","100","100","100","96","96","46","73","100","","40","18","20"
"59360","90","98","100","100","62","54","100","100","100","99","100","63","40","60","81","63","29","12","16"
"59361","90","92","91","100","75","80","98","98","96","100","100","50","53","66","78","84","55","17","16"
"59363","91","92","100","99","84","80","99","99","96","100","100","63","52","62","78","77","54","11","16"
"59364","92","96","100","98","30","45","100","100","97","100","99","49","37","62","68","53","39","12","12"
"59365","91","90","99","100","96","90","100","96","90","100","98","46","56","56","67","67","44","14","12"
"59366","91","97","100","100","94","92","100","99","96","99","100","51","42","55","64","60","41","18","17"
"59369","99","100","100","100","80","92","100","97","100","100","99","47","39","46","62","19","29","7","17"
"59370","100","100","100","100","86","94","100","100","100","100","100","67","85","76","93","79","82","6","12"
"59371","67","92","99","91","49","51","97","100","100","99","95","62","57","73","53","60","61","18","12"
"59373","96","98","100","100","86","76","99","100","100","100","99","44","43","63","71","64","48","11","18"
"59374","100","91","100","100","75","70","100","98","97","100","100","69","58","74","69","61","53","7","17"
"59375","94","99","94","95","80","61","97","100","100","100","99","53","54","60","83","63","54","12","15"
"59378","93","89","100","99","39","45","89","100","97","97","95","58","66","68","75","77","53","11","15"
"59380","89","88","95","85","88","75","96","99","99","97","91","70","65","75","85","94","70","15","18"
"59381","92","86","99","93","61","52","99","99","99","99","100","53","50","55","52","60","31","12","15"
"59383","100","97","100","100","100","91","100","100","96","100","100","41","35","37","60","53","38","10","20"
"59384","99","88","100","99","94","93","100","96","88","100","100","50","53","64","69","72","59","8","19"
"59390","89","95","100","94","98","94","98","99","97","100","93","50","45","57","75","74","52","6","17"
"59400","96","96","100","100","73","74","100","100","100","100","99","69","68","71","78","78","45","8","11"
"59406","99","100","93","100","84","96","100","100","100","100","100","64","53","66","82","82","46","7","11"
"59414","96","95","98","100","85","46","100","100","100","97","98","58","48","75","79","76","64","10","20"
"59417","93","100","100","100","94","92","100","100","100","100","96","48","44","59","57","60","32","10","20"
"59423","81","67","91","100","50","47","94","100","100","100","100","48","41","55","55","85","45","28","15"
"59471","73","82","97","93","74","66","98","95","75","77","98","64","57","74","68","69","55","8","13"
"67002","90","93","99","99","74","64","100","100","90","77","100","52","68","68","59","70","43","18","19"
"67004","90","75","100","99","86","90","98","100","100","100","95","66","","59","67","60","34","16","19"
"67015","88","81","97","97","71","67","94","99","89","92","94","52","65","58","58","62","40","16","13"
"67042","96","90","99","100","90","91","99","100","97","98","99","63","71","76","87","81","63","7","13"
"67044","91","79","99","85","47","25","97","99","97","97","98","48","51","45","47","53","26","10","20"
"67051","95","87","99","89","70","70","95","98","91","99","87","49","43","55","50","39","37","16","11"
"67054","89","84","94","92","74","69","98","92","76","81","96","56","54","71","63","74","53","13","16"
"67056","95","85","100","99","96","93","97","100","100","94","99","44","50","57","77","50","50","0","21"
"67059","99","100","100","100","81","74","100","100","99","100","100","66","70","74","68","53","45","6","16"
"67065","100","100","94","100","86","90","100","100","100","100","100","70","67","84","91","82","68","13","17"
"67069","96","99","100","100","85","79","100","100","100","100","100","70","68","83","75","76","62","13","14"
"67078","96","89","99","94","48","41","98","99","93","97","100","61","56","69","58","69","45","14","20"
"67080","90","82","100","99","67","61","99","97","92","90","99","67","71","70","68","70","52","10","16"
"67084","93","95","99","99","91","92","99","100","100","99","100","58","52","71","73","57","59","13","16"
"67090","64","67","97","95","69","56","95","95","68","90","93","58","60","73","59","68","54","10","19"
"67101","86","99","100","100","69","71","100","100","99","100","100","69","61","78","67","72","58","13","15"
"67112","95","83","100","100","78","77","100","100","100","100","100","64","64","73","66","72","56","14","15"
"67115","91","95","94","100","68","75","98","100","93","99","96","49","60","63","60","59","49","17","19"
"67117","97","98","100","100","88","91","99","100","99","99","99","76","75","84","78","79","66","20","12"
"67123","93","84","97","98","75","71","99","98","97","98","99","62","57","73","66","75","60","14","15"
"67129","85","79","96","87","68","78","94","96","67","95","76","43","47","50","27","56","24","10","20"
"67130","97","100","99","100","83","89","100","100","100","100","100","61","66","73","68","67","54","11","15"
"67133","95","83","93","100","80","76","98","99","95","100","100","59","58","70","67","68","62","20","16"
"67136","97","93","100","100","74","69","100","100","99","100","100","59","51","67","64","58","42","10","17"
"67140","94","95","98","96","79","85","99","100","100","94","100","58","65","65","55","60","44","12","18"
"67146","96","99","100","100","80","76","100","100","99","100","100","59","56","73","74","72","51","5","18"
"67147","95","88","100","100","88","83","100","100","100","98","100","63","66","75","69","78","53","12","15"
"67156","91","89","100","98","73","78","99","95","96","97","98","39","46","61","55","46","37","13","23"
"67168","95","99","98","100","85","93","100","100","100","99","99","54","56","72","77","71","51","14","16"
"67169","86","76","100","90","74","65","98","100","98","97","98","62","60","69","56","73","54","12","14"
"67181","94","96","96","80","64","69","99","100","98","100","93","59","47","63","50","60","51","24","11"
"67192","88","70","99","94","67","62","98","99","84","92","94","51","64","65","60","72","38","18","16"
"67195","90","77","96","95","85","81","97","98","100","99","97","59","55","61","60","60","48","13","16"
"67196","94","80","100","100","87","87","98","100","100","100","94","59","49","62","60","63","44","23","23"
"67198","85","56","100","99","76","71","98","96","74","84","97","64","59","70","67","90","51","13","12"
"67201","99","100","100","100","84","85","100","100","100","100","100","66","67","72","80","62","54","18","15"
"67204","98","94","99","98","86","93","99","99","97","96","94","53","64","69","67","67","54","15","17"
"67212","88","95","99","96","76","69","95","95","94","96","94","51","61","69","68","66","49","13","15"
"67215","98","98","90","98","71","68","100","99","93","100","100","53","57","66","54","55","35","18","9"
"67221","89","98","96","88","76","66","99","98","97","91","100","66","62","73","59","75","50","14","14"
"67224","97","57","83","38","90","9","72","95","100","94","60","32","34","33","24","29","16","10","20"
"67240","91","87","95","100","67","71","100","98","96","92","100","58","59","71","69","62","51","13","19"
"67243","76","63","87","99","59","58","97","99","96","79","99","63","62","69","71","74","43","13","15"
"67248","97","93","100","97","78","76","99","100","99","99","100","57","54","71","62","69","47","19","11"
"67253","85","53","97","94","60","41","85","96","96","94","97","50","59","58","65","70","43","9","13"
"67254","84","82","91","98","79","75","97","99","97","99","99","55","57","69","62","78","44","11","16"
"67255","99","100","100","99","70","69","100","100","98","99","99","61","61","74","62","61","51","10","20"
"67268","88","91","100","99","71","70","100","99","97","100","100","58","54","67","63","64","50","12","13"
"67274","83","82","98","99","70","69","94","98","95","98","97","59","56","53","52","63","34","12","19"
"67275","98","96","97","99","81","68","99","97","97","78","99","40","49","64","68","75","40","16","10"
"67277","91","97","87","93","80","84","99","98","98","87","98","59","46","65","62","66","54","16","19"
"67279","95","90","93","97","77","76","99","94","86","67","99","47","48","61","69","84","45","25","17"
"67280","92","63","99","95","76","70","96","97","87","94","86","54","45","62","42","56","37","7","19"
"67295","95","98","100","99","83","94","100","100","98","98","98","48","43","63","66","69","44","7","13"
"67298","88","79","93","80","65","57","98","96","69","67","99","46","47","57","62","68","55","17","16"
"67325","96","92","99","94","84","89","99","93","91","100","100","64","65","69","62","70","42","17","15"
"67337","93","93","100","98","52","33","99","99","98","98","98","58","66","68","63","65","43","15","16"
"67338","84","53","95","90","64","58","94","89","90","84","86","46","61","55","52","54","43","12","16"
"67339","84","87","99","93","56","61","93","99","93","91","96","50","50","66","58","79","49","16","11"
"67402","93","84","97","93","67","67","98","100","96","100","98","60","49","74","81","68","53","14","13"
"67403","88","90","98","95","33","39","96","96","92","99","98","54","51","62","60","73","48","18","15"
"67406","96","96","100","100","87","90","99","99","100","99","100","62","56","75","74","71","53","14","16"
"67407","82","76","92","37","95","88","76","71","38","32","55","51","68","35","54","33","49","14","14"
"67413","82","85","99","99","79","68","99","99","96","97","97","57","54","68","67","67","43","10","20"
"67415","94","99","100","100","81","68","100","100","100","99","100","65","70","70","78","82","29","13","17"
"67416","98","100","100","99","73","78","99","100","98","100","99","46","34","39","32","34","14","10","20"
"67418","90","80","99","100","80","77","98","98","91","98","95","59","59","69","68","88","52","13","16"
"67419","94","86","97","98","71","75","97","100","100","97","96","57","52","67","56","82","42","12","14"
"67420","92","84","100","99","76","81","99","97","92","96","100","36","33","53","32","53","37","15","14"
"67421","94","100","100","97","59","48","98","100","100","100","94","30","33","37","37","52","6","10","20"
"67431","83","94","98","99","92","83","99","99","98","100","99","54","56","69","66","72","50","12","14"
"67437","87","83","99","96","79","77","98","97","84","87","100","63","55","75","66","78","49","6","25"
"67440","87","70","92","96","65","47","97","98","92","96","95","53","55","66","54","71","41","18","12"
"67441","86","96","97","96","79","85","100","99","98","99","99","60","66","65","45","61","48","20","17"
"67442","93","90","100","89","70","81","96","96","90","96","87","50","28","44","52","52","35","10","20"
"67443","98","97","100","99","92","83","99","100","100","100","99","68","61","77","80","73","60","17","16"
"67445","80","85","97","95","62","70","95","97","93","99","96","56","48","55","60","56","48","15","15"
"67448","82","94","98","94","78","78","99","90","80","48","99","62","57","72","59","71","52","17","16"
"67449","95","92","100","100","87","89","100","100","99","100","99","68","62","73","67","62","54","12","19"
"67450","98","99","98","98","45","39","99","100","100","97","99","58","65","54","65","61","29","11","17"
"67451","92","76","99","96","69","56","92","97","71","51","96","50","42","68","59","75","58","15","15"
"67452","90","84","98","96","84","63","98","96","84","91","98","65","69","72","73","76","53","12","17"
"67453","95","92","100","97","75","84","98","99","88","94","97","58","53","62","62","59","48","13","15"
"67454","83","88","100","97","65","67","100","99","97","99","99","50","41","57","60","46","40","11","19"
"67456","91","75","99","97","70","68","100","99","100","100","98","54","60","59","60","68","31","10","23"
"67457","86","79","100","99","81","79","99","99","98","100","100","61","56","64","63","68","45","17","17"
"67459","85","63","96","98","74","63","95","76","68","69","92","59","45","59","68","50","46","18","17"
"67460","94","94","98","99","84","86","100","100","99","99","99","61","62","75","78","83","57","8","16"
"67461","93","88","100","98","76","80","99","99","96","96","99","54","75","68","62","67","53","12","16"
"67464","69","72","75","97","46","54","97","100","97","98","98","39","51","66","65","69","28","13","15"
"67466","84","72","97","96","51","42","97","89","55","68","94","52","52","67","64","63","45","14","18"
"67467","87","90","100","100","70","80","98","97","93","97","97","50","60","63","71","77","37","12","13"
"67468","96","96","100","98","90","90","99","98","95","98","100","64","43","71","66","68","52","17","17"
"67469","82","81","100","97","57","50","99","96","88","98","97","52","56","62","48","72","46","20","15"
"67470","85","83","97","49","82","59","92","96","77","83","89","57","44","68","52","64","48","14","12"
"67472","84","59","99","98","88","56","98","95","99","96","97","62","43","78","70","96","45","19","14"
"67474","86","100","97","100","86","85","100","100","100","100","99","60","65","61","59","76","49","12","14"
"67475","77","70","98","75","49","28","93","90","78","83","95","56","59","64","71","","41","16","12"
"67477","89","86","87","99","79","74","94","94","80","100","98","58","47","56","63","57","40","12","20"
"67478","75","95","100","100","98","86","100","99","99","100","100","60","60","72","65","57","53","10","15"
"67480","88","79","100","86","79","66","92","100","93","96","99","52","41","54","55","71","28","11","11"
"67481","87","82","99","98","93","91","97","99","98","99","87","54","50","64","63","65","53","14","12"
"67482","90","90","99","97","86","85","98","100","99","100","100","65","64","77","60","80","46","10","10"
"67487","78","90","98","91","80","82","99","100","97","88","100","57","69","68","61","79","52","15","25"
"67489","97","95","99","98","83","87","99","99","96","89","99","71","76","83","75","80","66","13","16"
"67490","85","71","97","98","68","88","99","97","90","95","97","54","45","58","61","60","49","14","23"
"67498","92","96","96","90","92","77","98","91","100","100","98","55","47","57","56","46","39","11","20"
"67508","98","87","89","99","82","81","99","98","92","100","99","66","55","70","71","74","57","12","20"
"77001","91","98","99","99","77","66","100","95","96","100","100","57","59","67","62","61","50","14","18"
"77003","96","92","99","99","70","62","99","98","95","99","98","55","46","63","61","69","44","11","18"
"77005","96","86","99","97","61","51","97","98","93","97","96","59","48","60","62","59","50","10","17"
"77009","93","94","93","99","66","47","98","99","98","99","100","53","52","61","61","53","40","10","17"
"77012","96","96","99","99","68","65","99","99","96","96","99","61","58","65","71","69","50","13","17"
"77015","98","99","92","98","82","83","100","99","98","92","100","58","61","64","63","71","47","12","17"
"77017","99","92","99","99","73","67","97","97","92","95","95","51","50","54","55","62","38","13","17"
"77020","94","90","93","96","69","66","94","98","97","99","98","64","57","67","64","65","54","12","19"
"77028","98","99","99","99","84","85","100","100","100","99","99","52","43","55","58","58","39","15","18"
"77038","94","84","90","97","76","78","98","99","97","100","97","60","51","64","64","65","48","11","17"
"77041","96","95","96","97","90","87","98","99","97","97","98","52","66","63","69","68","49","11","16"
"77065","94","99","98","93","84","67","96","99","98","99","91","63","60","64","79","76","46","13","16"
"77066","94","88","99","96","76","74","99","97","96","99","99","58","57","59","66","65","48","11","16"
"77074","99","98","100","99","88","81","100","99","99","98","100","52","50","65","68","67","49","9","17"
"77078","99","65","97","93","81","55","96","88","74","99","91","65","60","72","80","71","55","11","19"
"77079","93","88","75","99","79","81","98","100","96","99","97","59","48","62","65","68","43","14","15"
"77085","87","84","96","98","86","77","98","93","92","56","100","60","46","63","60","60","42","15","19"
"77086","93","98","98","99","79","89","99","99","97","100","99","58","57","63","71","66","46","10","22"
"77088","97","95","98","96","80","77","98","99","99","100","93","63","50","64","66","73","46","17","14"
"77089","98","96","99","98","75","75","99","99","96","98","99","48","45","54","59","52","38","13","19"
"77097","96","92","91","94","72","72","96","98","81","89","91","58","53","67","69","69","49","12","20"
"77112","91","95","95","97","80","66","97","99","99","95","98","53","49","54","65","61","44","11","17"
"77113","91","83","96","100","77","74","96","96","86","100","97","49","53","56","66","62","43","10","17"
"77118","89","86","96","73","53","47","94","97","95","94","93","44","41","40","41","44","25","9","28"
"77119","95","95","99","99","65","58","99","93","86","83","99","61","54","66","59","56","52","10","18"
"77120","93","97","100","97","64","61","98","99","98","98","100","52","45","62","66","50","49","17","17"
"77133","94","99","80","98","69","35","99","100","100","100","100","56","50","65","67","68","54","11","17"
"77134","92","89","99","97","60","56","97","100","96","97","98","64","53","64","74","86","52","9","21"
"77135","92","83","97","100","49","46","99","97","93","91","100","58","49","65","75","75","54","12","17"
"77136","99","98","99","100","75","80","99","99","100","100","99","58","59","59","81","69","51","20","13"
"77144","84","57","92","96","59","57","96","97","89","95","95","51","51","58","71","67","46","13","17"
"77158","94","96","100","99","67","70","98","92","90","84","99","51","47","58","57","51","43","11","16"
"77159","86","87","93","98","65","57","98","98","95","94","98","59","44","65","66","64","51","13","16"
"77162","93","93","92","97","65","59","94","96","91","92","94","55","50","59","62","59","39","14","15"
"77163","99","100","100","100","83","93","100","100","100","100","100","58","48","65","67","59","52","8","16"
"77172","95","98","100","98","86","94","99","99","98","95","96","48","39","55","59","60","45","11","17"
"77173","96","84","99","100","55","52","99","99","98","99","99","53","54","59","70","76","53","12","14"
"77175","100","99","100","100","80","91","100","100","100","100","99","56","61","66","72","74","48","10","14"
"77176","94","90","94","92","27","13","94","100","78","96","87","51","47","48","41","62","27","13","6"
"77177","88","90","99","63","38","29","93","100","100","96","95","46","39","45","57","46","28","16","19"
"77191","98","98","100","97","89","78","98","100","100","98","98","39","38","56","78","64","46","12","17"
"77193","95","98","99","99","77","80","100","100","100","98","100","55","51","73","72","73","54","12","18"
"77199","94","100","100","100","40","34","100","100","100","99","100","48","42","50","62","58","40","11","16"
"77200","84","76","95","89","32","27","82","95","90","89","86","59","54","66","72","71","47","14","17"
"77205","96","98","100","99","76","62","100","99","97","99","99","57","60","67","70","72","47","15","18"
"77216","92","85","90","96","49","39","93","98","90","88","86","67","62","68","68","67","45","12","12"
"77218","89","90","98","96","62","65","96","98","91","94","96","53","44","43","60","60","37","4","15"
"77221","93","75","96","88","68","73","94","98","93","85","74","47","52","52","60","62","34","15","18"
"77223","95","98","97","97","78","68","100","100","100","99","100","60","53","54","73","66","43","11","11"
"77224","92","93","100","99","68","58","100","98","97","99","99","49","52","60","66","60","47","10","16"
"77228","91","87","86","93","64","56","92","96","93","91","93","58","52","59","69","74","41","13","20"
"77231","83","72","99","95","80","79","95","98","84","98","48","75","48","43","68","64","22","25","22"
"77232","94","70","99","95","50","38","96","100","100","100","90","42","39","42","40","57","32","22","13"
"77233","92","93","90","96","67","48","100","99","97","94","100","59","42","66","66","69","48","12","16"
"77234","88","89","90","82","62","56","95","87","66","72","96","57","58","67","79","83","53","16","18"
"77237","86","85","93","60","79","53","90","96","97","98","98","48","50","56","62","69","43","17","24"
"77240","87","91","95","93","72","70","94","95","81","71","89","46","43","58","56","57","42","15","14"
"77243","98","96","99","99","73","53","99","98","89","96","98","31","21","40","41","37","21","10","24"
"77245","93","91","99","98","61","50","99","98","95","99","98","64","57","69","73","75","45","11","20"
"77246","98","35","100","96","91","50","99","58","16","86","93","56","53","64","84","79","51","5","16"
"77247","90","73","98","85","62","68","97","94","91","94","100","44","40","51","71","43","42","11","24"
"77251","97","61","88","95","35","45","93","98","95","99","100","52","52","64","66","53","45","11","15"
"77252","97","97","100","97","75","67","95","98","96","98","97","44","45","48","64","69","42","16","3"
"77254","94","92","92","95","95","91","98","98","95","97","97","46","45","47","64","","35","10","20"
"77255","96","87","100","98","96","81","100","90","90","","100","52","60","52","51","","47","10","20"
"77257","85","84","86","100","76","60","99","99","96","96","99","55","51","60","65","63","44","10","16"
"87002","92","100","99","100","76","69","99","99","89","100","100","55","50","67","69","62","46","11","16"
"87007","85","97","99","99","71","70","99","98","96","94","98","53","65","59","69","59","48","16","15"
"87009","99","87","100","99","93","96","98","98","98","99","92","63","68","71","98","85","52","6","16"
"87016","90","91","89","95","78","70","98","98","93","85","99","58","53","68","68","71","55","9","17"
"87021","94","85","83","99","74","73","94","98","92","100","100","62","49","64","53","63","50","10","15"
"87022","97","99","100","100","73","72","100","100","100","100","99","64","65","75","72","78","63","12","16"
"87023","84","96","99","99","77","78","99","99","67","96","98","63","65","68","73","79","58","8","14"
"87026","86","97","100","99","85","83","99","96","90","99","100","56","54","68","67","69","58","8","13"
"87027","82","80","98","88","46","51","97","95","84","94","96","50","57","45","59","71","45","15","15"
"87033","96","91","98","100","80","66","100","97","86","95","100","59","46","70","71","74","60","12","18"
"87035","98","92","98","99","83","88","99","98","97","100","100","53","52","63","56","54","45","17","14"
"87036","86","90","100","100","81","73","100","99","100","100","97","54","46","68","72","58","47","11","20"
"87038","97","90","98","99","79","77","99","97","96","99","99","51","70","66","67","73","55","8","14"
"87039","88","94","98","100","90","84","99","99","95","100","100","50","54","54","65","87","45","13","21"
"87041","95","98","100","100","89","82","97","100","100","100","100","49","77","67","84","74","67","10","18"
"87042","92","88","92","99","73","59","96","99","96","99","99","55","48","58","65","60","37","11","16"
"87301","95","90","99","100","79","74","99","97","93","100","100","57","62","61","64","70","51","11","17"
"97000","78","84","99","95","60","41","97","99","99","99","95","56","42","62","78","76","54","14","18"
